id,label,type,collection,query,full_command,description,timestamp
48,malicious,aggregation_injection,sessions,"[{""$lookup"": {""from"": ""users"", ""localField"": ""_id"", ""foreignField"": ""_id"", ""as"": ""leaked""}}]","db.sessions.aggregate([{""$lookup"": {""from"": ""users"", ""localField"": ""_id"", ""foreignField"": ""_id"", ""as"": ""leaked""}}])",Injecting malicious operations through aggregation pipeline,2025-11-24T21:15:54.324969
49,benign,find_with_projection,orders,"{""status"": ""active""}","db.orders.find({""status"": ""active""}, {""username"": 1, ""created_at"": 1})",Query with field projection,2025-11-24T21:15:54.396584
50,benign,find_with_sort,comments,{},"db.comments.find({}).sort({""price"": -1})",Query with sorting,2025-11-24T21:15:54.527268
51,benign,simple_find,products,"{""email"": ""rcui@example.net""}","db.products.find({""email"": ""rcui@example.net""})",Simple field match query,2025-11-24T21:15:54.446261
52,benign,find_with_limit,customers,"{""status"": ""active""}","db.customers.find({""status"": ""active""}).skip(376).limit(44)",Query with pagination,2025-11-24T21:15:54.536667
53,benign,find_with_sort,sessions,{},"db.sessions.find({}).sort({""name"": 1})",Query with sorting,2025-11-24T21:15:54.395358
54,benign,simple_find,articles,"{""username"": ""elizabeth17""}","db.articles.find({""username"": ""elizabeth17""})",Simple field match query,2025-11-24T21:15:54.554643
55,malicious,operator_injection,orders,"{""status"": {""$in"": [""admin"", ""root"", ""administrator""]}}","db.orders.find({""status"": {""$in"": [""admin"", ""root"", ""administrator""]}})",Using $exists operator to bypass authentication or leak data,2025-11-24T21:15:54.295938
56,malicious,operator_injection,sessions,"{""role"": {""$in"": [""admin"", ""root"", ""administrator""]}}","db.sessions.find({""role"": {""$in"": [""admin"", ""root"", ""administrator""]}})",Using $ne operator to bypass authentication or leak data,2025-11-24T21:15:54.322993
57,benign,find_with_limit,products,"{""status"": ""active""}","db.products.find({""status"": ""active""}).skip(232).limit(42)",Query with pagination,2025-11-24T21:15:54.454680
58,malicious,where_injection,transactions,"{""$where"": ""this.constructor.constructor('return process')().exit()""}","db.transactions.find({""$where"": ""this.constructor.constructor('return process')().exit()""})",Injecting JavaScript code via $where clause,2025-11-24T21:15:54.337399
59,benign,find_with_projection,logs,"{""status"": ""active""}","db.logs.find({""status"": ""active""}, {""name"": 1, ""email"": 1, ""_id"": 0})",Query with field projection,2025-11-24T21:15:54.565544
60,benign,find_with_sort,customers,{},"db.customers.find({}).sort({""name"": 1})",Query with sorting,2025-11-24T21:15:54.489768
61,malicious,operator_injection,orders,"{""username"": {""$gt"": """"}, ""password"": {""$gt"": """"}}","db.orders.find({""username"": {""$gt"": """"}, ""password"": {""$gt"": """"}})",Using $gt operator to bypass authentication or leak data,2025-11-24T21:15:54.312788
62,benign,find_with_limit,sessions,"{""status"": ""active""}","db.sessions.find({""status"": ""active""}).skip(59).limit(51)",Query with pagination,2025-11-24T21:15:54.511801
63,benign,insert_query,users,"{""username"": ""ping54"", ""email"": ""fangzhou@example.net"", ""name"": ""\u738b\u6dd1\u534e"", ""age"": 80, ""country"": ""Montserrat"", ""created_at"": ""2025-08-04T04:45:18.398335"", ""status"": ""pending"", ""role"": ""user""}","db.users.insertOne({""username"": ""ping54"", ""email"": ""fangzhou@example.net"", ""name"": ""\u738b\u6dd1\u534e"", ""age"": 80, ""country"": ""Montserrat"", ""created_at"": ""2025-08-04T04:45:18.398335"", ""status"": ""pending"", ""role"": ""user""})",Document insert operation,2025-11-24T21:15:54.366845
64,malicious,where_injection,sessions,"{""$where"": ""this.a == this.b || 1==1""}","db.sessions.find({""$where"": ""this.a == this.b || 1==1""})",Injecting JavaScript code via $where clause,2025-11-24T21:15:54.344698
65,benign,update_query,orders,"{""filter"": {""_id"": ""6c51dcad-c246-47a3-b417-8bd992e04229""}, ""update"": {""$set"": {""updated_at"": ""2025-11-24T21:15:54.517765""}}}","db.orders.updateOne({""_id"": ""6c51dcad-c246-47a3-b417-8bd992e04229""}, {""$set"": {""updated_at"": ""2025-11-24T21:15:54.517765""}})",Document update operation,2025-11-24T21:15:54.517836
66,malicious,array_injection,sessions,"{""name"": {""$in"": [null, """", ""admin"", {""$gt"": """"}]}}","db.sessions.find({""name"": {""$in"": [null, """", ""admin"", {""$gt"": """"}]}})",Injection through array operators,2025-11-24T21:15:54.298932
67,benign,find_with_limit,customers,"{""status"": ""active""}","db.customers.find({""status"": ""active""}).skip(8).limit(68)",Query with pagination,2025-11-24T21:15:54.451363
68,benign,find_with_projection,users,"{""status"": ""active""}","db.users.find({""status"": ""active""}, {""price"": 1, ""name"": 1, ""stock"": 1})",Query with field projection,2025-11-24T21:15:54.367173
69,malicious,operator_injection,users,"{""_id"": {""$ne"": null}}","db.users.find({""_id"": {""$ne"": null}})",Using $gte operator to bypass authentication or leak data,2025-11-24T21:15:54.302758
70,benign,find_with_limit,orders,"{""status"": ""active""}","db.orders.find({""status"": ""active""}).skip(358).limit(74)",Query with pagination,2025-11-24T21:15:54.458918
71,benign,simple_find,orders,"{""_id"": ""fea95b73-52b3-40d1-9727-89242508f357""}","db.orders.find({""_id"": ""fea95b73-52b3-40d1-9727-89242508f357""})",Simple field match query,2025-11-24T21:15:54.392344
72,benign,find_with_limit,customers,"{""status"": ""active""}","db.customers.find({""status"": ""active""}).skip(324).limit(20)",Query with pagination,2025-11-24T21:15:54.457587
73,benign,count_query,orders,{},db.orders.countDocuments({}),Document count query,2025-11-24T21:15:54.503015
74,malicious,regex_injection,products,"{""name"": {""$regex"": ""admin.*"", ""$options"": ""i""}}","db.products.find({""name"": {""$regex"": ""admin.*"", ""$options"": ""i""}})",Using malicious regex for ReDoS attack or data leakage,2025-11-24T21:15:54.354169
75,benign,update_query,orders,"{""filter"": {""_id"": ""0423793f-de3a-464a-8bf6-3e19c88994e7""}, ""update"": {""$set"": {""name"": ""Thomas Rosales""}}}","db.orders.updateOne({""_id"": ""0423793f-de3a-464a-8bf6-3e19c88994e7""}, {""$set"": {""name"": ""Thomas Rosales""}})",Document update operation,2025-11-24T21:15:54.434766
76,benign,update_query,orders,"{""filter"": {""_id"": ""6c456d93-1b4a-48ae-bde7-e713f7fd8283""}, ""update"": {""$set"": {""updated_at"": ""2025-11-24T21:15:54.468385""}}}","db.orders.updateOne({""_id"": ""6c456d93-1b4a-48ae-bde7-e713f7fd8283""}, {""$set"": {""updated_at"": ""2025-11-24T21:15:54.468385""}})",Document update operation,2025-11-24T21:15:54.468455
77,malicious,or_injection,users,"{""$or"": [{""username"": ""admin""}, {""1"": ""1""}]}","db.users.find({""$or"": [{""username"": ""admin""}, {""1"": ""1""}]})",Bypassing condition restrictions using $or operator,2025-11-24T21:15:54.308613
78,malicious,aggregation_injection,transactions,"[{""$group"": {""_id"": null, ""passwords"": {""$push"": ""$password""}}}]","db.transactions.aggregate([{""$group"": {""_id"": null, ""passwords"": {""$push"": ""$password""}}}])",Injecting malicious operations through aggregation pipeline,2025-11-24T21:15:54.307134
79,malicious,aggregation_injection,orders,"[{""$match"": {""$where"": ""1==1""}}, {""$out"": ""stolen_data""}]","db.orders.aggregate([{""$match"": {""$where"": ""1==1""}}, {""$out"": ""stolen_data""}])",Injecting malicious operations through aggregation pipeline,2025-11-24T21:15:54.359694
80,malicious,or_injection,transactions,"{""$or"": [{""password"": {""$exists"": true}}, {""password"": {""$exists"": false}}]}","db.transactions.find({""$or"": [{""password"": {""$exists"": true}}, {""password"": {""$exists"": false}}]})",Bypassing condition restrictions using $or operator,2025-11-24T21:15:54.317612
81,malicious,aggregation_injection,orders,"[{""$project"": {""password"": 1, ""email"": 1}}]","db.orders.aggregate([{""$project"": {""password"": 1, ""email"": 1}}])",Injecting malicious operations through aggregation pipeline,2025-11-24T21:15:54.314561
82,benign,delete_query,comments,"{""_id"": ""b6a9e66b-19b9-4096-a46c-4e5b7f25d908""}","db.comments.deleteOne({""_id"": ""b6a9e66b-19b9-4096-a46c-4e5b7f25d908""})",Document delete operation,2025-11-24T21:15:54.466150
83,benign,insert_query,orders,"{""order_id"": ""5367210c-ba57-4e20-aea0-682e6b3887b0"", ""user_id"": ""8af638a3-139a-438c-96b5-783da7120dfe"", ""total"": 3694.8, ""status"": ""pending"", ""created_at"": ""2025-11-23T12:58:49.132494"", ""items_count"": 9}","db.orders.insertOne({""order_id"": ""5367210c-ba57-4e20-aea0-682e6b3887b0"", ""user_id"": ""8af638a3-139a-438c-96b5-783da7120dfe"", ""total"": 3694.8, ""status"": ""pending"", ""created_at"": ""2025-11-23T12:58:49.132494"", ""items_count"": 9})",Document insert operation,2025-11-24T21:15:54.501497
84,benign,simple_find,comments,"{""order_id"": ""ec899be4-4de0-4f10-8f3e-216669d153e1""}","db.comments.find({""order_id"": ""ec899be4-4de0-4f10-8f3e-216669d153e1""})",Simple field match query,2025-11-24T21:15:54.534886
85,malicious,or_injection,orders,"{""$or"": [{""admin"": true}, {""admin"": {""$exists"": false}}]}","db.orders.find({""$or"": [{""admin"": true}, {""admin"": {""$exists"": false}}]})",Bypassing condition restrictions using $or operator,2025-11-24T21:15:54.327863
86,benign,find_with_sort,customers,{},"db.customers.find({}).sort({""updated_at"": -1})",Query with sorting,2025-11-24T21:15:54.413642
87,malicious,where_injection,users,"{""$where"": ""this.a == this.b || 1==1""}","db.users.find({""$where"": ""this.a == this.b || 1==1""})",Injecting JavaScript code via $where clause,2025-11-24T21:15:54.303458
88,benign,distinct_query,orders,"{""field"": ""brand""}","db.orders.distinct(""brand"")",Field distinct query,2025-11-24T21:15:54.431945
89,benign,find_with_limit,logs,"{""status"": ""active""}","db.logs.find({""status"": ""active""}).skip(436).limit(59)",Query with pagination,2025-11-24T21:15:54.566538
90,malicious,or_injection,orders,"{""$or"": [{""a"": ""a""}, {""b"": {""$ne"": """"}}]}","db.orders.find({""$or"": [{""a"": ""a""}, {""b"": {""$ne"": """"}}]})",Bypassing condition restrictions using $or operator,2025-11-24T21:15:54.340075
91,benign,find_with_limit,orders,"{""status"": ""active""}","db.orders.find({""status"": ""active""}).skip(466).limit(44)",Query with pagination,2025-11-24T21:15:54.515606
92,benign,aggregation_query,orders,"[{""$match"": {""status"": ""active""}}, {""$count"": ""total""}]","db.orders.aggregate([{""$match"": {""status"": ""active""}}, {""$count"": ""total""}])",Aggregation pipeline query,2025-11-24T21:15:54.448472
93,malicious,json_injection,products,"{""username"": ""admin"", ""$or"": [{""1"": ""1""}]}","db.products.find({""username"": ""admin"", ""$or"": [{""1"": ""1""}]})",Manipulating query logic through JSON structure,2025-11-24T21:15:54.319072
94,benign,aggregation_query,sessions,"[{""$group"": {""_id"": ""$status"", ""avgPrice"": {""$avg"": ""$price""}}}]","db.sessions.aggregate([{""$group"": {""_id"": ""$status"", ""avgPrice"": {""$avg"": ""$price""}}}])",Aggregation pipeline query,2025-11-24T21:15:54.548877
95,benign,find_with_limit,articles,"{""status"": ""active""}","db.articles.find({""status"": ""active""}).skip(7).limit(50)",Query with pagination,2025-11-24T21:15:54.413693
96,malicious,operator_injection,sessions,"{""_id"": {""$ne"": null}}","db.sessions.find({""_id"": {""$ne"": null}})",Using $nin operator to bypass authentication or leak data,2025-11-24T21:15:54.289932
97,benign,distinct_query,articles,"{""field"": ""brand""}","db.articles.distinct(""brand"")",Field distinct query,2025-11-24T21:15:54.544394
98,benign,find_with_sort,customers,{},"db.customers.find({}).sort({""created_at"": -1})",Query with sorting,2025-11-24T21:15:54.462699
99,malicious,aggregation_injection,logs,"[{""$match"": {}}, {""$merge"": {""into"": ""attacker_collection""}}]","db.logs.aggregate([{""$match"": {}}, {""$merge"": {""into"": ""attacker_collection""}}])",Injecting malicious operations through aggregation pipeline,2025-11-24T21:15:54.308153
100,benign,find_with_projection,customers,"{""status"": ""active""}","db.customers.find({""status"": ""active""}, {""password"": 0})",Query with field projection,2025-11-24T21:15:54.558851
101,benign,count_query,customers,"{""status"": ""active""}","db.customers.countDocuments({""status"": ""active""})",Document count query,2025-11-24T21:15:54.525702
102,malicious,aggregation_injection,users,"[{""$lookup"": {""from"": ""users"", ""localField"": ""_id"", ""foreignField"": ""_id"", ""as"": ""leaked""}}]","db.users.aggregate([{""$lookup"": {""from"": ""users"", ""localField"": ""_id"", ""foreignField"": ""_id"", ""as"": ""leaked""}}])",Injecting malicious operations through aggregation pipeline,2025-11-24T21:15:54.339742
103,malicious,comment_injection,orders,"{""username"": ""admin'--"", ""password"": ""anything""}","db.orders.find({""username"": ""admin'--"", ""password"": ""anything""})",Attempting to bypass filters through comment syntax,2025-11-24T21:15:54.351868
104,benign,aggregation_query,customers,"[{""$group"": {""_id"": ""$category"", ""count"": {""$sum"": 1}}}]","db.customers.aggregate([{""$group"": {""_id"": ""$category"", ""count"": {""$sum"": 1}}}])",Aggregation pipeline query,2025-11-24T21:15:54.397619
105,benign,find_with_projection,comments,"{""status"": ""active""}","db.comments.find({""status"": ""active""}, {""password"": 0})",Query with field projection,2025-11-24T21:15:54.423687
106,malicious,regex_injection,users,"{""name"": {""$regex"": "".{1,1000000}""}}","db.users.find({""name"": {""$regex"": "".{1,1000000}""}})",Using malicious regex for ReDoS attack or data leakage,2025-11-24T21:15:54.354090
107,malicious,comment_injection,transactions,"{""username"": ""admin'--"", ""password"": ""anything""}","db.transactions.find({""username"": ""admin'--"", ""password"": ""anything""})",Attempting to bypass filters through comment syntax,2025-11-24T21:15:54.339760
108,benign,find_with_projection,articles,"{""status"": ""active""}","db.articles.find({""status"": ""active""}, {""name"": 1, ""email"": 1, ""_id"": 0})",Query with field projection,2025-11-24T21:15:54.445459
109,benign,find_with_limit,products,"{""status"": ""active""}","db.products.find({""status"": ""active""}).skip(171).limit(93)",Query with pagination,2025-11-24T21:15:54.382626
110,benign,find_with_projection,articles,"{""status"": ""active""}","db.articles.find({""status"": ""active""}, {""password"": 0})",Query with field projection,2025-11-24T21:15:54.403914
111,benign,find_with_limit,articles,"{""status"": ""active""}","db.articles.find({""status"": ""active""}).skip(424).limit(84)",Query with pagination,2025-11-24T21:15:54.415966
112,malicious,regex_injection,products,"{""password"": {""$regex"": ""^(a|a)+$""}}","db.products.find({""password"": {""$regex"": ""^(a|a)+$""}})",Using malicious regex for ReDoS attack or data leakage,2025-11-24T21:15:54.329615
113,malicious,or_injection,transactions,"{""$or"": [{""a"": ""a""}, {""b"": {""$ne"": """"}}]}","db.transactions.find({""$or"": [{""a"": ""a""}, {""b"": {""$ne"": """"}}]})",Bypassing condition restrictions using $or operator,2025-11-24T21:15:54.346359
114,benign,simple_find,users,"{""name"": ""Jeremy Johnson""}","db.users.find({""name"": ""Jeremy Johnson""})",Simple field match query,2025-11-24T21:15:54.467645
115,benign,find_with_projection,comments,"{""status"": ""active""}","db.comments.find({""status"": ""active""}, {""price"": 1, ""name"": 1, ""stock"": 1})",Query with field projection,2025-11-24T21:15:54.452594
116,malicious,or_injection,products,"{""$or"": [{""a"": ""a""}, {""b"": {""$ne"": """"}}]}","db.products.find({""$or"": [{""a"": ""a""}, {""b"": {""$ne"": """"}}]})",Bypassing condition restrictions using $or operator,2025-11-24T21:15:54.330107
117,malicious,operator_injection,customers,"{""admin"": {""$in"": [""admin"", ""root"", ""administrator""]}}","db.customers.find({""admin"": {""$in"": [""admin"", ""root"", ""administrator""]}})",Using $in operator to bypass authentication or leak data,2025-11-24T21:15:54.333675
118,malicious,operator_injection,orders,"{""username"": {""$exists"": true, ""$ne"": null}}","db.orders.find({""username"": {""$exists"": true, ""$ne"": null}})",Using $gte operator to bypass authentication or leak data,2025-11-24T21:15:54.350528
119,malicious,regex_injection,orders,"{""username"": {""$regex"": ""admin.*"", ""$options"": ""i""}}","db.orders.find({""username"": {""$regex"": ""admin.*"", ""$options"": ""i""}})",Using malicious regex for ReDoS attack or data leakage,2025-11-24T21:15:54.309750
120,malicious,array_injection,accounts,"{""password.0"": {""$exists"": true}}","db.accounts.find({""password.0"": {""$exists"": true}})",Injection through array operators,2025-11-24T21:15:54.356401
121,benign,aggregation_query,logs,"[{""$match"": {""price"": {""$gte"": 100}}}, {""$sort"": {""price"": -1}}, {""$limit"": 10}]","db.logs.aggregate([{""$match"": {""price"": {""$gte"": 100}}}, {""$sort"": {""price"": -1}}, {""$limit"": 10}])",Aggregation pipeline query,2025-11-24T21:15:54.535838
122,malicious,or_injection,customers,"{""$or"": [{""admin"": true}, {""admin"": {""$exists"": false}}]}","db.customers.find({""$or"": [{""admin"": true}, {""admin"": {""$exists"": false}}]})",Bypassing condition restrictions using $or operator,2025-11-24T21:15:54.317974
123,malicious,array_injection,products,"{""status"": {""$elemMatch"": {""$exists"": true}}}","db.products.find({""status"": {""$elemMatch"": {""$exists"": true}}})",Injection through array operators,2025-11-24T21:15:54.354381
124,benign,count_query,articles,"{""status"": ""active""}","db.articles.countDocuments({""status"": ""active""})",Document count query,2025-11-24T21:15:54.567958
125,benign,count_query,sessions,"{""status"": ""active""}","db.sessions.countDocuments({""status"": ""active""})",Document count query,2025-11-24T21:15:54.491458
126,malicious,comment_injection,orders,"{""$comment"": ""'); db.users.drop(); //"", ""username"": ""admin""}","db.orders.find({""$comment"": ""'); db.users.drop(); //"", ""username"": ""admin""})",Attempting to bypass filters through comment syntax,2025-11-24T21:15:54.317591
127,malicious,operator_injection,products,"{""username"": {""$gt"": """"}, ""password"": {""$gt"": """"}}","db.products.find({""username"": {""$gt"": """"}, ""password"": {""$gt"": """"}})",Using $in operator to bypass authentication or leak data,2025-11-24T21:15:54.334594
128,benign,find_with_sort,comments,{},"db.comments.find({}).sort({""name"": 1})",Query with sorting,2025-11-24T21:15:54.566544
129,benign,count_query,comments,{},db.comments.countDocuments({}),Document count query,2025-11-24T21:15:54.476787
130,malicious,array_injection,logs,"{""role"": {""$in"": [null, """", ""admin"", {""$gt"": """"}]}}","db.logs.find({""role"": {""$in"": [null, """", ""admin"", {""$gt"": """"}]}})",Injection through array operators,2025-11-24T21:15:54.325367
131,benign,find_with_sort,customers,{},"db.customers.find({}).sort({""created_at"": -1})",Query with sorting,2025-11-24T21:15:54.414795
132,benign,find_with_sort,users,{},"db.users.find({}).sort({""rating"": -1, ""price"": 1})",Query with sorting,2025-11-24T21:15:54.410114
133,malicious,regex_injection,sessions,"{""token"": {""$regex"": ""^(?:a+){10,}$""}}","db.sessions.find({""token"": {""$regex"": ""^(?:a+){10,}$""}})",Using malicious regex for ReDoS attack or data leakage,2025-11-24T21:15:54.290506
